pcd,pcd2,pcds,dointr,doterm,oscty,oslaua,osward,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,hro,ctry,gor,streg,pcon,eer,teclec,ttwa,pct,nuts,psed,cened,edind,oshaprev,lea,oldha,wardc91,wardo91,ward98,statsward,oa01,casward,park,lsoa01,msoa01,ur01ind,oac01,oldpct,oa11,lsoa11,msoa11,parish,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd
"AB1 2DD","AB1  2DD","AB1 2DD","197308","199606","S99999999","S12000033","S13002487","0","393793","0805876","1","S08000020","S99999999","S92000003","S99999999","0","S14000002","S15000001","S09000001","S22000047","S03000012","S31000931","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB32","72UB32","00QA33","99ZZ00","S00001529","01C27","S99999999","S01000100","S02000018","1","5C2","X98","S00090581","S01006582","S02001249","S99999999","S34003029","S03000012","S99999999","S99999999","1","7B1",57.143734,-2.104204,"S99999999","S99999999","S23000009",3356
"AB1 4DG","AB1  4DG","AB1 4DG","199405","199606","S99999999","S12000033","S13002488","0","395067","0800739","1","S08000020","S99999999","S92000003","S99999999","0","S14000002","S15000001","S09000001","S22000047","S03000012","S31000947","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB42","72UB42","00QA50","99ZZ00","S00001767","01C43","S99999999","S01000003","S02000001","1","6A1","X98","S00090849","S01006616","S02001255","S99999999","S34003144","S03000012","S99999999","S99999999","1","8B1",57.097604,-2.083048,"S99999999","S99999999","S23000009",6277
"AB1 6AP","AB1  6AP","AB1 6AP","198001","199606","S99999999","S12000033","S13002487","0","393363","0804707","1","S08000020","S99999999","S92000003","S99999999","0","S14000002","S15000001","S09000001","S22000047","S03000012","S31000941","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB31","72UB31","00QA43","99ZZ00","S00000310","01C37","S99999999","S01000065","S02000010","1","2B1","X98","S00089285","S01006601","S02001252","S99999999","S34002960","S03000012","S99999999","S99999999","1","2C3",57.133227,-2.111278,"S99999999","S99999999","S23000009",5426
"AB1 6RY","AB1  6RY","AB1 6RY","198001","199606","S99999999","S12000033","S13002485","0","392605","0805166","1","S08000020","S99999999","S92000003","S99999999","0","S14000002","S15000001","S09000001","S22000047","S03000012","S31000938","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB29","72UB29","00QA41","99ZZ00","S00000237","01C34","S99999999","S01000083","S02000017","1","4C3","X98","S00089207","S01006576","S02001248","S99999999","S34003105","S03000012","S99999999","S99999999","1","5B1",57.137338,-2.123814,"S99999999","S99999999","S23000009",6897
"AB1 8NS","AB1  8NS","AB1 8NS","198001","199606","S99999999","S12000033","S13002485","0","390111","0805057","1","S08000020","S99999999","S92000003","S99999999","0","S14000002","S15000001","S09000001","S22000047","S03000012","S31000933","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB28","72UB28","00QA30","99ZZ00","S00000400","01C29","S99999999","S01000076","S02000014","1","4C3","X98","S00089379","S01006548","S02001243","S99999999","S34003024","S03000012","S99999999","S99999999","1","6B3",57.136312,-2.165016,"S99999999","S99999999","S23000009",6570
"AB107HH","AB10 7HH","AB10 7HH","199606","","S99999999","S12000033","S13002486","0","391127","0803443","1","S08000020","S99999999","S92000003","S99999999","0","S14000002","S15000001","S09000001","S22000047","S03000012","S31000940","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB38","72UB38","00QA39","99ZZ00","S00001585","01C36","S99999999","S01000039","S02000008","1","5C1","X98","S00090642","S01006526","S02001239","S99999999","S34003110","S03000012","S99999999","S99999999","1","4A2",57.121834,-2.148172,"S99999999","S99999999","S23000009",2599
"AB107HS","AB10 7HS","AB10 7HS","199606","","S99999999","S12000033","S13002486","0","392191","0803641","1","S08000020","S99999999","S92000003","S99999999","0","S14000002","S15000001","S09000001","S22000047","S03000012","S31000940","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB37","72UB37","00QA40","99ZZ00","S00001588","01C36","S99999999","S01000042","S02000008","1","5B1","X98","S00090645","S01006530","S02001239","S99999999","S34003097","S03000012","S99999999","S99999999","1","7A3",57.123632,-2.130606,"S99999999","S99999999","S23000009",2531
"AB124WU","AB12 4WU","AB12 4WU","201305","","S99999999","S12000034","S13002505","0","391618","0798150","1","S08000020","S99999999","S92000003","S99999999","0","S14000058","S15000001","S09000001","S22000047","S03000013","S31001005","99ZZ0099","ZZ0099","9","SN9","QB","SN9","72UE06","72UE06","00QB40","99ZZ00","S00002136","02C58","S99999999","S01000336","S02000059","6","3B1","X98","S00091310","S01006849","S02001295","S99999999","S34003170","S03000013","S99999999","S99999999","3","6A2",57.074296,-2.139883,"S99999999","S99999999","S23000009",6120
"AB129EB","AB12 9EB","AB12 9EB","200806","201107","S99999999","S12000033","S13002488","1","394406","0802269","1","S08000020","S99999999","S92000003","S99999999","0","S14000002","S15000001","S09000001","S22000047","S03000012","S31000946","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB42","72UB42","00QA49","99ZZ00","S00001357","01C42","S99999999","S01000012","S02000002","1","4B2","X98","S00090392","S01006608","S02001254","S99999999","S34003036","S03000012","S99999999","S99999999","1","6A3",57.111340,-2.093992,"S99999999","S99999999","S23000009",5354
"AB155FG","AB15 5FG","AB15 5FG","199606","","S99999999","S12000033","S13002482","0","392553","0806531","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S31000928","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB19","72UB19","00QA25","99ZZ00","S00000726","01C24","S99999999","S01000131","S02000023","1","6D2","X98","S00089732","S01006558","S02001245","S99999999","S34003010","S03000012","S99999999","S99999999","1","5B3",57.149599,-2.124715,"S99999999","S99999999","S23000009",6587
